#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu May 04 03:48:50 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       lockout_map.ncd
#OUTPUT FILE:      lockout_pad.csv
#PART TYPE:        xc7z020
#SPEED GRADE:      -1
#PACKAGE:          clg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B10,,IOPAD,PS_MIO47_501,UNUSED,,,,,,,,,,,
B11,,IOPAD,PS_MIO43_501,UNUSED,,,,,,,,,,,
B12,,IOPAD,PS_MIO34_501,UNUSED,,,,,,,,,,,
B13,,,VCCO_MIO1_501,,,,,,,,any******,,,,
B14,,IOPAD,PS_MIO37_501,UNUSED,,,,,,,,,,,
B15,S_AXI_RRESP<1>,IOB,IO_L7N_T1_AD2N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B16,S_AXI_RDATA<13>,IOB,IO_L8P_T1_AD10P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B17,S_AXI_RDATA<14>,IOB,IO_L8N_T1_AD10N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B18,,,GND,,,,,,,,,,,,
B19,S_AXI_RDATA<23>,IOB,IO_L13P_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B20,S_AXI_RDATA<24>,IOB,IO_L13N_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B21,S_AXI_BRESP<1>,IOB,IO_L18P_T2_AD13P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B22,S_AXI_WDATA<0>,IOB,IO_L18N_T2_AD13N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C1,,,GND,,,,,,,,,,,,
C2,,IOPAD,PS_DDR_DQS_P0_502,UNUSED,,,,,,,,,,,
C3,,IOPAD,PS_DDR_DQ1_502,UNUSED,,,,,,,,,,,
C4,,IOPAD,PS_MIO9_500,UNUSED,,,,,,,,,,,
C5,,IOPAD,PS_MIO12_500,UNUSED,,,,,,,,,,,
C6,,,VCCO_MIO0_500,,,,,,,,any******,,,,
C7,,IOPAD,PS_MIO32_501,UNUSED,,,,,,,,,,,
C8,,IOPAD,PS_MIO41_501,UNUSED,,,,,,,,,,,
C9,,IOPAD,PS_SRST_B_501,UNUSED,,,,,,,,,,,
C10,,IOPAD,PS_MIO51_501,UNUSED,,,,,,,,,,,
C11,,,GND,,,,,,,,,,,,
C12,,IOPAD,PS_MIO53_501,UNUSED,,,,,,,,,,,
C13,,IOPAD,PS_MIO39_501,UNUSED,,,,,,,,,,,
C14,,IOPAD,PS_MIO49_501,UNUSED,,,,,,,,,,,
C15,S_AXI_RDATA<11>,IOB,IO_L7P_T1_AD2P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C16,,,VCCO_35,,,35,,,,,1.80,,,,
C17,S_AXI_RDATA<19>,IOB,IO_L11P_T1_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C18,S_AXI_RDATA<20>,IOB,IO_L11N_T1_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C19,S_AXI_RDATA<22>,IOB,IO_L12N_T1_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C20,S_AXI_RDATA<26>,IOB,IO_L14N_T2_AD4N_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C21,,,GND,,,,,,,,,,,,
C22,S_AXI_RDATA<30>,IOB,IO_L16N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D1,,IOPAD,PS_DDR_DQ0_502,UNUSED,,,,,,,,,,,
D2,,IOPAD,PS_DDR_DQS_N0_502,UNUSED,,,,,,,,,,,
D3,,IOPAD,PS_DDR_DQ3_502,UNUSED,,,,,,,,,,,
D4,,,GND,,,,,,,,,,,,
D5,,IOPAD,PS_MIO7_500,UNUSED,,,,,,,,,,,
D6,,IOPAD,PS_MIO16_501,UNUSED,,,,,,,,,,,
D7,,IOPAD,PS_MIO27_501,UNUSED,,,,,,,,,,,
D8,,IOPAD,PS_MIO42_501,UNUSED,,,,,,,,,,,
D9,,,VCCO_MIO1_501,,,,,,,,any******,,,,
D10,,IOPAD,PS_MIO52_501,UNUSED,,,,,,,,,,,
D11,,IOPAD,PS_MIO48_501,UNUSED,,,,,,,,,,,
D12,,IOPAD,PS_MIO46_501,UNUSED,,,,,,,,,,,
D13,,IOPAD,PS_MIO50_501,UNUSED,,,,,,,,,,,
D14,,,GND,,,,,,,,,,,,
D15,S_AXI_RDATA<8>,IOB,IO_L3N_T0_DQS_AD1N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D16,S_AXI_RDATA<1>,IOB,IO_L2P_T0_AD8P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D17,S_AXI_RDATA<2>,IOB,IO_L2N_T0_AD8N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D18,S_AXI_RDATA<21>,IOB,IO_L12P_T1_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D19,,,VCCO_35,,,35,,,,,1.80,,,,
D20,S_AXI_RDATA<25>,IOB,IO_L14P_T2_AD4P_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D21,S_AXI_BRESP<0>,IOB,IO_L17N_T2_AD5N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D22,S_AXI_RDATA<29>,IOB,IO_L16P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E1,,IOPAD,PS_DDR_DQ5_502,UNUSED,,,,,,,,,,,
E2,,,VCCO_DDR_502,,,,,,,,any******,,,,
E3,,IOPAD,PS_DDR_DQ4_502,UNUSED,,,,,,,,,,,
E4,,IOPAD,PS_MIO4_500,UNUSED,,,,,,,,,,,
E5,,IOPAD,PS_MIO8_500,UNUSED,,,,,,,,,,,
E6,,IOPAD,PS_MIO15_500,UNUSED,,,,,,,,,,,
E7,,,GND,,,,,,,,,,,,
E8,,IOPAD,PS_MIO29_501,UNUSED,,,,,,,,,,,
E9,,IOPAD,PS_MIO17_501,UNUSED,,,,,,,,,,,
E10,,IOPAD,PS_MIO19_501,UNUSED,,,,,,,,,,,
E11,,IOPAD,PS_MIO23_501,UNUSED,,,,,,,,,,,
E12,,,VCCO_MIO1_501,,,,,,,,any******,,,,
E13,,IOPAD,PS_MIO44_501,UNUSED,,,,,,,,,,,
E14,,IOPAD,PS_MIO40_501,UNUSED,,,,,,,,,,,
E15,S_AXI_RDATA<3>,IOB,IO_L3P_T0_DQS_AD1P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E16,S_AXI_RDATA<0>,IOB,IO_L1N_T0_AD0N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E17,,,GND,,,,,,,,,,,,
E18,S_AXI_RDATA<12>,IOB,IO_L5N_T0_AD9N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E19,S_AXI_WREADY,IOB,IO_L21P_T3_DQS_AD14P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E20,S_AXI_AWREADY,IOB,IO_L21N_T3_DQS_AD14N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E21,S_AXI_RDATA<31>,IOB,IO_L17P_T2_AD5P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E22,,,VCCO_35,,,35,,,,,1.80,,,,
F1,,IOPAD,PS_DDR_DQ7_502,UNUSED,,,,,,,,,,,
F2,,IOPAD,PS_DDR_DQ6_502,UNUSED,,,,,,,,,,,
F3,,IOPAD,PS_DDR_DRST_B_502,UNUSED,,,,,,,,,,,
F4,,IOPAD,PS_DDR_A13_502,UNUSED,,,,,,,,,,,
F5,,,VCCO_DDR_502,,,,,,,,any******,,,,
F6,,IOPAD,PS_MIO3_500,UNUSED,,,,,,,,,,,
F7,,IOPAD,PS_CLK_500,UNUSED,,,,,,,,,,,
F8,,,PS_MIO_VREF_501,,,,,,,,,,,,
F9,,IOPAD,PS_MIO31_501,UNUSED,,,,,,,,,,,
F10,,,GND,,,,,,,,,,,,
F11,,IOPAD,PS_MIO21_501,UNUSED,,,,,,,,,,,
F12,,IOPAD,PS_MIO25_501,UNUSED,,,,,,,,,,,
F13,,IOPAD,PS_MIO38_501,UNUSED,,,,,,,,,,,
F14,,IOPAD,PS_MIO35_501,UNUSED,,,,,,,,,,,
F15,,,VCCO_35,,,35,,,,,1.80,,,,
F16,S_AXI_RDATA<4>,IOB,IO_L1P_T0_AD0P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F17,S_AXI_RDATA<10>,IOB,IO_L6N_T0_VREF_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F18,S_AXI_RDATA<7>,IOB,IO_L5P_T0_AD9P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F19,S_AXI_ARESETN,IOB,IO_L20N_T3_AD6N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F20,,,GND,,,,,,,,,,,,
F21,S_AXI_BREADY,IOB,IO_L23P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F22,S_AXI_RREADY,IOB,IO_L23N_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G1,,IOPAD,PS_DDR_DQ9_502,UNUSED,,,,,,,,,,,
G2,,IOPAD,PS_DDR_DQ8_502,UNUSED,,,,,,,,,,,
G3,,,GND,,,,,,,,,,,,
G4,,IOPAD,PS_DDR_A14_502,UNUSED,,,,,,,,,,,
G5,,IOPAD,PS_DDR_A11_502,UNUSED,,,,,,,,,,,
G6,,IOPAD,PS_MIO0_500,UNUSED,,,,,,,,,,,
G7,,IOPAD,PS_MIO10_500,UNUSED,,,,,,,,,,,
G8,,,VCCPINT,,,,,,,,,,,,
G9,,,VCCBATT_0,,,,,,,,,,,,
G10,,,RSVDGND,,,,,,,,,,,,
G11,,,TCK_0,,,,,,,,,,,,
G12,,,TMS_0,,,,,,,,,,,,
G13,,IOPAD,PS_MIO33_501,UNUSED,,,,,,,,,,,
G14,,,TDO_0,,,,,,,,,,,,
G15,S_AXI_RDATA<5>,IOB,IO_L4P_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G16,S_AXI_RDATA<6>,IOB,IO_L4N_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G17,S_AXI_RDATA<9>,IOB,IO_L6P_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G18,,,VCCO_35,,,35,,,,,1.80,,,,
G19,S_AXI_WDATA<3>,IOB,IO_L20P_T3_AD6P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
G20,S_AXI_BVALID,IOB,IO_L22P_T3_AD7P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G21,S_AXI_RVALID,IOB,IO_L22N_T3_AD7N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G22,S_AXI_AWVALID,IOB,IO_L24N_T3_AD15N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H1,,,VCCO_DDR_502,,,,,,,,any******,,,,
H2,,IOPAD,PS_DDR_DQS_P1_502,UNUSED,,,,,,,,,,,
H3,,IOPAD,PS_DDR_DM1_502,UNUSED,,,,,,,,,,,
H4,,IOPAD,PS_DDR_A12_502,UNUSED,,,,,,,,,,,
H5,,IOPAD,PS_DDR_A9_502,UNUSED,,,,,,,,,,,
H6,,,GND,,,,,,,,,,,,
H7,,,PS_DDR_VREF0_502,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,VCCPINT,,,,,,,,,,,,
H10,,,VCCPLL,,,,,,,,,,,,
H11,,,VCCBRAM,,,,,,,,,,,,
H12,,,GND,,,,,,,,,,,,
H13,,,TDI_0,,,,,,,,,,,,
H14,,,GND,,,,,,,,,,,,
H15,S_AXI_ARADDR<2>,IOB,IO_0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
H16,,,GND,,,,,,,,,,,,
H17,S_AXI_RRESP<0>,IOB,IO_0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H18,S_AXI_WVALID,IOB,IO_25_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H19,S_AXI_WDATA<1>,IOB,IO_L19P_T3_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H20,S_AXI_WDATA<2>,IOB,IO_L19N_T3_VREF_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
H21,,,VCCO_35,,,35,,,,,1.80,,,,
H22,S_AXI_ARREADY,IOB,IO_L24P_T3_AD15P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J1,,IOPAD,PS_DDR_DQ14_502,UNUSED,,,,,,,,,,,
J2,,IOPAD,PS_DDR_DQS_N1_502,UNUSED,,,,,,,,,,,
J3,,IOPAD,PS_DDR_A10_502,UNUSED,,,,,,,,,,,
J4,,,VCCO_DDR_502,,,,,,,,any******,,,,
J5,,IOPAD,PS_DDR_A8_502,UNUSED,,,,,,,,,,,
J6,,IOPAD,PS_DDR_A7_502,UNUSED,,,,,,,,,,,
J7,,IOPAD,PS_DDR_A6_502,UNUSED,,,,,,,,,,,
J8,,,VCCPINT,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCBRAM,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.0,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,VCCINT,,,,,,,,1.0,,,,
J15,S_AXI_ARADDR<0>,IOB,IO_L1P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
J16,S_AXI_AWADDR<0>,IOB,IO_L2P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
J17,S_AXI_AWADDR<2>,IOB,IO_L2N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
J18,S_AXI_AWADDR<3>,IOB,IO_L7P_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
J19,,,GND,,,,,,,,,,,,
J20,S_AXI_AWADDR<7>,IOB,IO_L9P_T1_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
J21,S_AXI_AWADDR<5>,IOB,IO_L8P_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
J22,S_AXI_AWADDR<6>,IOB,IO_L8N_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K1,,IOPAD,PS_DDR_DQ13_502,UNUSED,,,,,,,,,,,
K2,,,GND,,,,,,,,,,,,
K3,,IOPAD,PS_DDR_DQ15_502,UNUSED,,,,,,,,,,,
K4,,IOPAD,PS_DDR_A2_502,UNUSED,,,,,,,,,,,
K5,,IOPAD,PS_DDR_A5_502,UNUSED,,,,,,,,,,,
K6,,IOPAD,PS_DDR_A4_502,UNUSED,,,,,,,,,,,
K7,,,VCCO_DDR_502,,,,,,,,any******,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,VCCPAUX,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCADC_0,,,,,,,,,,,,
K12,,,GNDADC_0,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.0,,,,
K14,,,GND,,,,,,,,,,,,
K15,S_AXI_ARADDR<1>,IOB,IO_L1N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K16,S_AXI_AWADDR<1>,IOB,IO_L3P_T0_DQS_PUDC_B_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K17,,,VCCO_34,,,34,,,,,1.80,,,,
K18,S_AXI_AWADDR<4>,IOB,IO_L7N_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K19,,IOB33M,IO_L11P_T1_SRCC_34,UNUSED,,34,,,,,,,,,
K20,,IOB33S,IO_L11N_T1_SRCC_34,UNUSED,,34,,,,,,,,,
K21,S_AXI_AWADDR<8>,IOB,IO_L9N_T1_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
K22,,,GND,,,,,,,,,,,,
L1,,IOPAD,PS_DDR_DQ10_502,UNUSED,,,,,,,,,,,
L2,,IOPAD,PS_DDR_DQ11_502,UNUSED,,,,,,,,,,,
L3,,IOPAD,PS_DDR_DQ12_502,UNUSED,,,,,,,,,,,
L4,,IOPAD,PS_DDR_A3_502,UNUSED,,,,,,,,,,,
L5,,,GND,,,,,,,,,,,,
L6,,IOPAD,PS_DDR_BA1_502,UNUSED,,,,,,,,,,,
L7,,IOPAD,PS_DDR_BA0_502,UNUSED,,,,,,,,,,,
L8,,,VCCPINT,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCAUX,,,,,,,,1.8,,,,
L11,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
L12,,,VREFN_0,,,,,,,,,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.0,,,,
L15,,,GND,,,,,,,,,,,,
L16,S_AXI_ARVALID,IOB,IO_L3N_T0_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
L17,S_AXI_ARADDR<3>,IOB,IO_L4P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
L18,,IOB33M,IO_L12P_T1_MRCC_34,UNUSED,,34,,,,,,,,,
L19,,IOB33S,IO_L12N_T1_MRCC_34,UNUSED,,34,,,,,,,,,
L20,,,VCCO_34,,,34,,,,,1.80,,,,
L21,,IOB33M,IO_L10P_T1_34,UNUSED,,34,,,,,,,,,
L22,,IOB33S,IO_L10N_T1_34,UNUSED,,34,,,,,,,,,
M1,,IOPAD,PS_DDR_DQ16_502,UNUSED,,,,,,,,,,,
M2,,IOPAD,PS_DDR_DQ22_502,UNUSED,,,,,,,,,,,
M3,,,VCCO_DDR_502,,,,,,,,any******,,,,
M4,,IOPAD,PS_DDR_A0_502,UNUSED,,,,,,,,,,,
M5,,IOPAD,PS_DDR_A1_502,UNUSED,,,,,,,,,,,
M6,,IOPAD,PS_DDR_BA2_502,UNUSED,,,,,,,,,,,
M7,,IOPAD,PS_DDR_VRN_502,UNUSED,,,,,,,,,,,
M8,,,GND,,,,,,,,,,,,
M9,,,VCCPAUX,,,,,,,,,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VREFP_0,,,,,,,,,,,,
M12,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.0,,,,
M14,,,GND,,,,,,,,,,,,
M15,S_AXI_ARADDR<6>,IOB,IO_L6P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
M16,S_AXI_ARADDR<4>,IOB,IO_L6N_T0_VREF_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
